10 10
100 100 1
200 200 2
300 300 3
400 400 4
500 500 5
600 500 6
700 400 7
600 300 8
500 200 9
400 100 10
110 110 1
210 210 2
310 310 3
410 410 4
510 510 5
610 510 6
710 410 7
610 310 8
510 210 9
410 110 20
120 120 1
220 220 2
320 320 3
420 420 4
520 520 5
620 520 6
720 420 7
620 320 8
520 220 9
420 120 30
130 130 1
230 230 2
330 330 3
400 430 4
500 530 5
600 530 6
700 430 7
600 330 8
500 230 9
400 130 40
100 140 1
200 240 2
300 340 3
400 440 4
500 540 5
600 540 6
700 440 7
600 340 8
500 240 9
400 140 50
100 150 1
200 250 2
300 350 3
400 450 4
500 550 5
600 550 6
700 450 7
600 350 8
500 250 9
400 150 60
100 160 1
200 260 2
300 360 3
400 460 4
500 560 5
600 560 6
700 460 7
600 360 8
500 260 9
400 160 70
100 160 1
200 260 2
300 360 3
400 460 4
500 560 5
600 560 6
700 460 7
600 360 8
500 260 9
400 160 80
100 150 1
200 250 2
300 350 3
400 450 4
500 550 5
600 550 6
700 450 7
600 350 8
500 250 9
400 150 90
100 140 1
200 240 2
300 340 3
400 440 4
500 540 5
600 540 6
700 440 7
600 340 8
500 240 9
400 140 100
